1951|运动休闲
1952|头饰
1953|鞋袜
1954|日常便服
1955|制服校服
1956|泳装内衣
1957|日常便服
1958|军装战斗
1959|制服校服
1960|洋装礼服
1961|泳装内衣
1962|军装战斗
1963|洋装礼服
1964|外套大衣
1965|军装战斗
1966|外套大衣
1967|制服校服
1968|头饰
1969|外套大衣
1970|配饰
1971|配饰
1972|鞋袜
1973|日常便服
1974|制服校服
1975|运动休闲
1976|配饰
1977|运动休闲
1978|配饰
1979|和风民族
1980|和风民族
1981|头饰
1982|和风民族
1983|军装战斗
1984|日常便服
1985|头饰
1986|头饰
1987|洋装礼服
1988|洋装礼服
1989|泳装内衣
1990|制服校服
1991|配饰
1992|头饰
1993|和风民族
1994|泳装内衣
1995|日常便服
1996|运动休闲
1997|鞋袜
1998|制服校服
1999|泳装内衣
2000|和风民族
2001|其他
2002|和风民族
2003|头饰
2004|鞋袜
2005|泳装内衣
2006|鞋袜
2007|泳装内衣
2008|泳装内衣
2009|洋装礼服
2010|头饰
2011|配饰
2012|日常便服
2013|泳装内衣
2014|配饰
2015|日常便服
2016|运动休闲
2017|配饰
2018|洋装礼服
2019|洋装礼服
2020|其他
2021|制服校服
2022|军装战斗
2023|配饰
2024|鞋袜
2025|其他
2026|配饰
2027|其他
2028|制服校服
2029|头饰
2030|日常便服
2031|运动休闲
2032|配饰
2033|日常便服
2034|鞋袜
2035|配饰
2036|配饰
2037|配饰
2038|日常便服
2039|和风民族
2040|军装战斗
2041|泳装内衣
2042|军装战斗
2043|头饰
2044|日常便服
2045|鞋袜
2046|配饰
2047|洋装礼服
2048|鞋袜
2049|制服校服
2050|其他
2051|头饰
2052|日常便服
2053|运动休闲
2054|鞋袜
2055|外套大衣
2056|其他
2057|泳装内衣
2058|其他
2059|日常便服
2060|日常便服
2061|配饰
2062|头饰
2063|制服校服
2064|其他
2065|其他
2066|配饰
2067|头饰
2068|运动休闲
2069|泳装内衣
2070|日常便服
2071|日常便服
2072|日常便服
2073|外套大衣
2074|泳装内衣
2075|配饰
2076|配饰
2077|泳装内衣
2078|头饰
2079|配饰
2080|泳装内衣
